visit_id,cookie_id,page_id,event_type,sequence_number,event_time,date,time
ccf365,c4ca42,1,1,1,04-02-2020 19:16,04-02-2020,19:16:00
ccf365,c4ca42,2,1,2,04-02-2020 19:16,04-02-2020,19:16:00
ccf365,c4ca42,6,1,3,04-02-2020 19:16,04-02-2020,19:16:00
ccf365,c4ca42,9,1,4,04-02-2020 19:16,04-02-2020,19:16:00
ccf365,c4ca42,9,2,5,04-02-2020 19:17,04-02-2020,19:17:00
ccf365,c4ca42,10,1,6,04-02-2020 19:18,04-02-2020,19:18:00
ccf365,c4ca42,10,2,7,04-02-2020 19:19,04-02-2020,19:19:00
ccf365,c4ca42,11,1,8,04-02-2020 19:19,04-02-2020,19:19:00
ccf365,c4ca42,11,2,9,04-02-2020 19:20,04-02-2020,19:20:00
ccf365,c4ca42,12,1,10,04-02-2020 19:20,04-02-2020,19:20:00
ccf365,c4ca42,13,3,11,04-02-2020 19:21,04-02-2020,19:21:00
d58cbd,c81e72,1,1,1,18-01-2020 23:40,18-01-2020,23:40:00
d58cbd,c81e72,2,1,2,18-01-2020 23:41,18-01-2020,23:41:00
d58cbd,c81e72,4,1,3,18-01-2020 23:42,18-01-2020,23:42:00
d58cbd,c81e72,4,2,4,18-01-2020 23:42,18-01-2020,23:42:00
d58cbd,c81e72,5,1,5,18-01-2020 23:42,18-01-2020,23:42:00
d58cbd,c81e72,5,2,6,18-01-2020 23:43,18-01-2020,23:43:00
d58cbd,c81e72,7,1,7,18-01-2020 23:43,18-01-2020,23:43:00
d58cbd,c81e72,8,1,8,18-01-2020 23:43,18-01-2020,23:43:00
d58cbd,c81e72,8,2,9,18-01-2020 23:44,18-01-2020,23:44:00
d58cbd,c81e72,10,1,10,18-01-2020 23:44,18-01-2020,23:44:00
d58cbd,c81e72,10,2,11,18-01-2020 23:45,18-01-2020,23:45:00
d58cbd,c81e72,12,1,12,18-01-2020 23:45,18-01-2020,23:45:00
9a2f24,eccbc8,1,1,1,21-02-2020 03:19,21-02-2020,03:19:00
9a2f24,eccbc8,4,1,2,21-02-2020 03:19,21-02-2020,03:19:00
9a2f24,eccbc8,4,2,3,21-02-2020 03:19,21-02-2020,03:19:00
9a2f24,eccbc8,7,1,4,21-02-2020 03:20,21-02-2020,03:20:00
